SP;NCOL;LT;DI;PLM ;FTLM;FTWM;FTLM/FTWM;STLM;STWM;STLM/STWM;LLM;MLWM;LLM/MLWM;WMPM;LLM/WMPM;DBMWM;LLM/DBMWM ;DLAUM;TLWM;DLAUM/TLWM;LLM/DLAUM;NTM;LFSDM;LSSDM;PLS;FTLS;FTWS;FTLS/FTWS;STLS;STWS;STLS/STWS;LLS;MLWS;LLS/MLWS;WMPS;LLS/WMPS;DLBMWS;LLS/DLBMWS;DLAUS;TLWS;DLAUS/TLWS;LLS/DLAUS;NTS;LFSDS;LSSDS
V.tenuifolia- jav;SALA93468;84;6466;0;410;55;745;337;78;432;1077;533;202;469;230;356;303;352;142;248;306;300;0;0;0;222;48;463;190;59;322;937;330;284;282;332;398;235;370;112;330;253;233;0;0
V.tenuifolia- jav;VIT37034;58;6233;0;342;75;456;392;62;632;1038;764;135;561;185;401;259;269;106;254;386;433;0;0;0;142;57;249;169;60;282;864;347;249;310;279;499;173;287;97;296;301;367;0;0
V.tenuifolia-ten;BC113724;21;4000;24;998;53;1883;405;43;942;1301;1281;101;901;144;357;364;623;62;1005;209;433;0;0;77;877;48;1827;914;53;1725;1541;1512;102;1334;116;372;414;666;78;854;231;400;0;0
V.tenuifolia-ten;JACA61188;23;300;54;429;43;998;426;50;852;961;585;164;433;222;405;237;325;52;625;296;300;0;170;56;373;36;1036;336;39;862;1260;478;264;221;570;350;360;490;60;817;257;267;0;0
V.tenuifolia-ten;JACA77571;19;1067;37;386;47;821;572;51;1122;826;835;99;758;109;282;293;209;73;286;395;400;0;62;164;215;40;538;0;0;0;917;275;333;275;333;502;183;589;620;95;156;100;0;0
V.tenuifolia-ten;JACA9857;14;450;31;237;39;608;365;57;640;719;768;94;628;114;314;229;99;53;187;726;400;0;0;0;336;40;840;193;41;471;853;291;293;422;202;459;186;452;71;637;189;200;0;0
V.tenuifolia-ten;MAF108794;37;4000;24;466;64;728;437;49;892;1322;671;197;468;282;332;398;452;103;439;292;367;70;149;161;203;61;333;203;82;248;1472;286;515;282;522;731;201;647;84;770;228;300;0;0
V.tenuifolia-ten;SALA95040;24;2133;47;542;51;1063;701;43;1630;1472;1067;138;828;178;673;219;424;59;719;347;367;0;132;73;346;41;844;297;49;606;1013;451;225;393;258;365;278;514;50;1028;197;233;0;0
V.tenuifolia-ten;RNG/Heywood/16-V-1971;21;3066;0;366;47;779;475;61;779;779;869;90;624;125;366;213;251;71;354;310;367;420;191;0;342;52;658;327;50;654;1170;521;225;422;277;477;245;537;146;368;218;300;0;0
V.tenuifolia-ten;K/Reverchon/VI-1891;57;12233;0;209;78;268;188;61;308;1005;503;199;402;250;584;172;337;165;204;298;333;0;0;0;145;70;207;234;62;377;951;276;345;225;423;514;185;364;125;291;261;400;0;0
V.tenuifolia-ten;SALA33052;18;1866;44;491;59;832;669;60;1115;1001;1173;85;744;135;344;291;398;76;524;252;367;53;205;122;295;48;615;301;54;557;897;459;195;317;283;250;359;530;71;746;169;300;0;0
V.tenuifolia-ten;VAB80719;28;5133;101;455;58;784;646;66;979;1175;809;145;679;173;613;192;271;88;308;434;433;0;118;86;314;75;419;337;65;518;1312;443;296;331;396;684;192;502;79;635;261;200;0;0
V.teucrioides;SALA149270;32;2933;0;36;57;62;30;54;55;1237;386;320;374;331;771;160;104;180;58;1185;433;0;0;97;12;20;57;14;17;84;1119;211;531;186;603;694;161;216;118;183;519;100;0;0
V.teucrioides;SALA149329;23;1667;97;49;52;94;34;41;83;853;391;218;348;245;574;149;119;173;69;717;300;0;0;0;14;25;56;11;14;79;717;208;345;194;370;451;159;122;90;136;588;100;0;0
V.teucrioides;SALA149330;26;2700;97;42;42;100;58;48;121;1154;350;330;327;353;645;179;135;150;90;855;433;0;0;35;50;41;122;38;49;78;1128;292;386;263;429;632;178;208;121;172;542;433;0;0
V.teucrium;SALA124600;32;6666;48;87;109;80;138;153;90;3133;1168;268;1083;289;1078;291;288;435;66;1088;767;0;0;0;54;57;95;81;78;104;2343;655;358;577;406;885;265;310;304;102;756;767;0;0
V.teucrium;BM68135;42;5067;0;119;117;102;142;122;116;3299;1706;193;1562;211;1030;320;356;491;73;927;1167;0;0;0;30;46;65;32;88;36;2069;406;510;377;549;1344;154;302;191;158;685;600;0;0
V.teucrium;BM68159;39;6333;0;149;139;107;178;116;153;3987;2007;198;1702;234;1133;352;519;484;107;768;1000;0;0;0;58;62;94;39;95;41;2604;555;469;501;520;1074;242;716;323;222;364;750;0;0
V.teucrium;BM68550;39;7167;0;108;107;101;131;170;77;3397;1659;205;1536;221;719;472;274;291;94;1240;1033;0;0;0;29;108;27;109;129;84;3837;1730;222;1587;242;1045;367;233;307;76;1647;1300;0;0
V.teucrium;SALA124597;38;5667;0;167;165;101;160;157;102;3106;1991;159;1698;183;859;362;199;336;59;1561;1267;0;0;0;68;81;84;62;83;75;2270;872;260;774;293;697;326;417;318;131;544;900;0;0
V.teucrium;SALA124578;37;5733;0;130;121;107;199;193;103;4447;2614;170;2123;209;1309;340;287;429;67;1549;1167;0;0;0;54;77;70;56;73;77;2954;960;308;851;347;923;320;295;241;122;1001;1133;0;0
V.teucrium;WU/Schneider/14-VI-1937;48;6333;0;106;112;95;169;141;120;2693;1286;209;1133;238;805;335;270;400;68;997;833;0;0;0;72;84;86;135;92;147;2018;599;337;492;410;526;384;194;145;134;1040;700;0;0
V.teucrium;MA112464;36;5000;0;69;86;80;90;145;62;2399;1651;145;1559;154;798;301;224;452;50;1071;900;0;0;0;53;82;65;68;84;81;1466;944;155;886;165;596;246;235;318;74;624;667;0;0
V.teucrium;MA185323;40;5967;0;112;92;122;195;167;117;3022;1618;187;1408;215;670;451;295;282;105;1024;1067;0;0;0;23;58;40;51;18;283;2772;904;307;888;312;1259;220;561;369;152;494;1200;0;0
V.teucrium;MA333222;42;4000;0;93;79;118;69;130;53;4325;2354;184;1901;228;1230;352;286;632;45;1512;1100;0;0;0;44;51;86;37;42;88;2671;726;368;697;383;1034;258;328;246;133;814;1000;0;0
V.teucrium;SALA93469;40;6000;0;94;164;57;105;212;50;2757;1629;169;1566;176;870;317;158;270;59;1745;1000;0;0;0;74;120;62;78;149;52;2975;1295;230;1196;249;854;348;387;453;85;769;1100;0;0
V.teucrium;SALA124599;43;3867;0;116;81;143;142;115;123;3975;2046;194;1747;228;1079;368;255;243;105;1559;1333;0;0;0;66;86;77;87;83;105;2507;773;324;700;358;984;255;440;280;157;570;833;0;0
V.teucrium;SALA124602;45;5000;0;53;130;41;101;115;88;2900;1089;266;992;292;938;309;292;293;100;993;1167;0;0;0;49;68;72;49;63;78;2801;730;384;716;391;1361;206;361;306;118;776;1000;0;0
V.teucrium;SALA124598;54;6433;0;157;102;154;200;158;127;4496;1945;231;1567;287;1148;392;390;448;87;1153;1367;0;0;0;35;50;70;61;58;105;2357;727;324;659;358;1235;191;320;263;122;737;1150;0;0
V.teucrium;SALA124562;41;5800;0;95;146;65;157;141;111;5034;1728;291;1334;377;1479;340;423;280;151;1190;1350;0;0;0;68;105;65;93;109;85;4969;1355;367;1298;383;1606;309;289;241;120;1719;1550;0;0
V.turrilliana;SALA149331;14;933;63;50;39;128;69;49;141;699;354;197;323;216;431;162;95;172;55;736;533;0;0;20;68;47;145;55;46;120;676;393;172;252;268;380;178;182;209;87;371;400;0;0
V.turrilliana;SALA149333;12;1133;146;37;52;71;37;41;90;903;414;218;373;242;683;132;143;260;55;631;333;0;0;25;18;28;64;17;22;77;630;282;223;270;233;350;180;216;230;94;292;267;0;0
V.turrilliana;SALA149334;15;1600;115;48;51;94;38;49;78;1349;531;254;608;222;725;186;149;268;56;905;800;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
