SPECIES;ACCESION.NUMBER;PLM ;PLS;FTWM;FTWS;STWM;STWS;LLM;LLS;FTLM;FTLS;STLM;STLS;MLWM;MLWS;WMPM;WMPS;DLBMWM;DLBMWS;DLAUM;DLAUS;TLWM;TLWS;NTM;NTS
V.satureiifolia;SALA124594(2);0;;1.09;;0.55;;18.86;;0.4;;0.42;;3.74;;3.74;;8.94;;1.77;;1.12;;8;
V.satureiifolia;SALA124594;0;0;135;;64;;1701;1738;56;0;51;0;352;155;351;151;722;748;258;;131;;650;0
V.satureiifolia;G8263/1680(1);0;0;0.42;0;0.45;0;16.32;19.5;0.48;0;0.41;0;4.88;2.73;4.72;2.62;10.58;7.85;1.19;;1.6;;7;0
V.satureiifolia;G8263/1680(2);0;0;0.49;0.28;0.49;0;17.21;21.63;0.34;0.58;0.4;0;4.47;3.87;4.2;3.54;8.19;6.39;1.65;1.24;1.72;1.1;6;1
V.satureiifolia;G8263/1680;0;0;46;14;47;0;1677;2057;41;29;41;0;468;330;446;308;939;712;142;124;166;110;650;50
V.sennenii;SALA110638(1);0;0;1.04;0.49;2.09;0.77;38.35;27.07;1.33;0.99;1.46;1.01;16.55;7.53;11.75;6.59;17.01;11.39;4.03;3.59;4.45;2.68;6;9
V.sennenii;SALA110638(2);0;0;0.91;0.78;1.43;1.25;34.33;33.98;2.23;1.06;1.72;1.28;11.94;7.17;8.45;5.08;12.99;15.56;4.61;4.02;4.03;2.79;8;8
V.sennenii;SALA110638;0;0;98;64;176;101;3634;3053;178;103;159;115;1425;735;1010;584;1500;1348;432;381;424;274;700;850
V.sennenii;SALA110637(1);1.54;0;0.63;0.83;0.81;0.64;19.88;13.65;1.05;0.93;0.92;0.79;7.45;2.54;6.67;2.03;7.31;5.04;2.38;3.83;2.22;1.22;8;5
V.sennenii;SALA110637(2);0;0;0.84;0.4;0.87;0.5;15.97;16.64;0.54;0.43;0.63;0.51;6.07;2.29;5.51;2.27;7.44;7.55;2.21;3.2;1.23;1.38;7;3
V.sennenii;SALA110637(3);0;0;1.05;0.84;1.02;1.09;22.96;20.86;0.93;0.58;1.41;0.57;8.43;4.62;7.73;4.36;8.65;8.58;3.82;3.41;2.97;2.03;7;9
V.sennenii;SALA110637;51;0;84;69;90;74;1960;1705;84;65;99;62;732;315;664;289;780;706;280;348;214;154;733;567
V.sennenii;SALA110634(1);1.36;0;1.25;1.02;0.84;0.83;23.53;20.9;0.8;0.56;1.18;0.34;6.88;2.94;5.43;2.44;9.61;9.61;4.31;3.96;3.15;1.83;8;4
V.sennenii;SALA110634(2);0.58;0;0.66;0.64;0.9;0.59;23.35;19.75;0.83;0.49;0.82;0.5;6.41;3.69;6.25;2.73;13.37;8.71;3.12;3.56;3.45;2.75;6;4
V.sennenii;SALA110634(3);0;0;0.7;0;0.61;0;23.96;19.66;0.66;0;0.71;0;4.74;2.04;4.24;1.64;10.79;11.9;2.5;;1.86;;7;0
V.sennenii;SALA110634;65;0;87;55;78;47;2361;2010;76;35;90;28;601;289;531;227;1126;1007;331;376;282;229;700;267
V.sennenii;SALA110642(1);0;0;0.69;0.59;0.68;0.42;19.17;14.75;2.31;0.77;2.21;0.43;9.01;2.83;7.06;1.92;4.35;8.66;2.73;3.03;1.66;2.18;9;2
V.sennenii;SALA110642(2);0;0;0.48;0;0.49;0;19.12;19.38;0.98;0;0.76;0;7.2;2.73;5.16;2.56;5.2;12.77;3.88;;3.16;;7;0
V.sennenii;SALA110642(3);0;0;0.39;0;0.5;0;19.46;20.73;0.52;0;0.74;0;4.72;1.88;4.38;1.65;6.72;15.73;4.26;;2.97;;8;0
